Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Anytime-valid,27,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,27,0.4238,0.006988469932681975,0.41010259893194334,0.4374974010680567,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,28,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,28,0.426,0.006993196693930466,0.4122933344798963,0.4397066655201037,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,29,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,29,0.4284,0.006998191766449387,0.4146835441377592,0.4421164558622408,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,30,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,30,0.431,0.007003413453452538,0.41727330963123305,0.44472669036876694,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,31,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,31,0.4332,0.007007678074797671,0.41946495097339653,0.4469350490266034,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,32,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,32,0.4344,0.007009944935589723,0.42066050792624415,0.44813949207375586,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,33,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,33,0.4366,0.007013992301107837,0.42285257508982865,0.4503474249101713,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,34,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,34,0.4406,0.007020991952708677,0.426838855772691,0.454361144227309,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,35,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,35,0.4428,0.007024644617345421,0.429031696550003,0.45656830344999705,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,36,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,36,0.446,0.007029708386554879,0.4322217715623524,0.4597782284376476,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,37,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,37,0.4474,0.007031831055991035,0.4336176111302576,0.46118238886974244,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,38,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,38,0.4484,0.007033312732987209,0.4346147070433451,0.46218529295665495,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,39,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,39,0.4496,0.007035052807193419,0.4358112964979009,0.4633887035020991,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,40,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,40,0.4504,0.007036189878051899,0.4366090678390183,0.46419093216098173,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,41,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,41,0.4518,0.007038135548566822,0.438005254324809,0.46559474567519094,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,42,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,42,0.4536,0.007040554523615309,0.439800513133714,0.467399486866286,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,43,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,43,0.4542,0.007041340213340071,0.44039897318185345,0.46800102681814654,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,44,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,44,0.4568,0.007044625753012008,0.44299253352409645,0.4706074664759035,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,45,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,45,0.4584,0.007046551497009016,0.4445887590658623,0.47221124093413763,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,46,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,46,0.4606,0.007049079939963797,0.446783803317671,0.47441619668232904,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,47,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,47,0.4624,0.007051045879867752,0.4485799500754592,0.47622004992454076,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,48,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,48,0.4638,0.007052511042174979,0.449977078357337,0.47762292164266296,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,49,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,49,0.4642,0.007052919395541112,0.45037627798473945,0.47802372201526055,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,50,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,50,0.4652,0.007053920328441483,0.4513743161562547,0.47902568384374533,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,51,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,51,0.4666,0.007055273772150873,0.4527716634065843,0.4804283365934157,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,52,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,52,0.4678,0.007056389445034904,0.4539694766877316,0.4816305233122684,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,53,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,53,0.4688,0.007057287864328619,0.4549677157859159,0.4826322842140841,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,54,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,54,0.4702,0.007058497857193129,0.4563653441999015,0.4840346558000985,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,55,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,55,0.4724,0.007060286679731922,0.45856183810772544,0.48623816189227453,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,56,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,56,0.4728,0.00706059714188538,0.45896122960190466,0.48663877039809533,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,57,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,57,0.4742,0.007061647966303617,0.4603591699860449,0.4880408300139551,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,58,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,58,0.4756,0.007062643131292986,0.4617572194626658,0.48944278053733425,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,59,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,59,0.4766,0.007063319899310805,0.46275589299735087,0.4904441070026492,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,60,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,60,0.4776,0.007063968289849552,0.4637546221518949,0.49144537784810516,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,61,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,61,0.4782,0.007064343706247595,0.46435388633575475,0.4920461136642453,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,62,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,62,0.4784,0.007064466575757862,0.46455364551151457,0.4922463544884854,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,63,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,63,0.4786,0.007064588310722713,0.4647534069109835,0.49244659308901656,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,64,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,64,0.4792,0.007064946708928524,0.4653527044505001,0.49304729554949994,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,65,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,65,0.4806,0.00706574327300391,0.46675114318491234,0.4944488568150877,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,66,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,66,0.4812,0.007066067647567492,0.4673505074107677,0.4950494925892323,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,67,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,67,0.4822,0.007066585597019256,0.4683494922298423,0.49605050777015774,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,68,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,68,0.4832,0.00706707520831638,0.4693485325916999,0.49705146740830014,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,69,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,69,0.484,0.007067446497851964,0.47014780486421015,0.4978521951357898,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,70,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,70,0.4862,0.007068374070463447,0.47234598682189166,0.5000540131781084,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,71,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,71,0.4886,0.007069229661002675,0.4747443098644347,0.5024556901355652,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,72,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,72,0.49,0.007069653456853455,0.47614347922456723,0.5038565207754327,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,73,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,73,0.491,0.007069922206078367,0.4771429524760864,0.5048570475239136,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,74,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,74,0.4912,0.007069972560059904,0.47734285378228264,0.5050571462177175,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,75,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,75,0.4922,0.007070207351980563,0.4783423935901181,0.506057606409882,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,76,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,76,0.493,0.007070374813261317,0.4791420653660078,0.5068579346339922,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,77,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,77,0.4934,0.0070704517536010385,0.479541914562942,0.5072580854370581,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,78,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,78,0.494,0.007070558676653493,0.48014170499375913,0.5078582950062408,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,79,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,79,0.4946,0.007070655415164849,0.48074151538627685,0.5084584846137231,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,80,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,80,0.4958,0.007070818340192315,0.48194119605322305,0.509658803946777,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,81,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,81,0.4968,0.007070922994913747,0.48294099092996906,0.5106590090700309,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,82,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,82,0.4976,0.007070986352695075,0.48374086674871764,0.5114591332512823,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,83,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,83,0.498,0.0070710112430967045,0.4841408179635305,0.5118591820364695,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,84,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,84,0.4982,0.007071021991197595,0.4843407968972527,0.5120592031027472,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,85,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,85,0.499,0.00707105366971571,0.4851407348073572,0.5128592651926428,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,86,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,86,0.4994,0.0070710627206948175,0.4855407170674382,0.5132592829325618,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,87,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,87,0.4996,0.007071065549123413,0.4857407115237181,0.5134592884762819,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,88,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,88,0.5006,0.0070710627206948175,0.4867407170674382,0.5144592829325619,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,89,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,89,0.5014,0.007071040093225324,0.4875407614172783,0.5152592385827216,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,90,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,90,0.5014,0.007071040093225324,0.4875407614172783,0.5152592385827216,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,91,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,91,0.5022,0.007070999363597765,0.48834084124734833,0.5160591587526516,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,92,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,92,0.5034,0.007070904326887757,0.48954102751929995,0.5172589724807,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,93,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,93,0.5038,0.007070863596478156,0.48994110735090285,0.5176588926490973,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,94,0,0,0,0,0.995,303.8730841675049,2500,5000
