Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Multivariate region null,Anytime-valid,100000000,0.0434,0.0028815426424052795,0.03775217642088565,0.04904782357911435,0.995,712.0349912088234,2500,5000
Multivariate region null,Conventional,100000000,0.9676,0.0025040063897682043,0.9626921474760544,0.9725078525239457,0.995,712.0349912088234,2500,5000
Scalar region null,Anytime-valid,100000000,0.0418,0.002830291857741883,0.0362526279588259,0.04734737204117409,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,100000000,0.8844,0.004521872178644594,0.8755371305298566,0.8932628694701433,0.995,303.8730841675049,2500,5000
