Test,Method,i,p_false_positive,p_fp_se,p_false_positive_upper,p_false_positive_lower
Joint region coefficients,Anytime-valid,2100,0.009,0.002987963843142663,0.014856409132559619,0.00314359086744038
Joint region coefficients,Conventional,2100,0.251,0.0137181335168889,0.27788754169310226,0.22411245830689774
Joint region coefficients,Anytime-valid,2200,0.01,0.003148000938676777,0.016170081839806484,0.003829918160193517
Joint region coefficients,Conventional,2200,0.256,0.01380777515223418,0.283063239298379,0.228936760701621
Joint region coefficients,Anytime-valid,2300,0.01,0.003148000938676777,0.016170081839806484,0.003829918160193517
Joint region coefficients,Conventional,2300,0.26,0.013877773329774164,0.2872004357263574,0.23279956427364265
Joint region coefficients,Anytime-valid,2400,0.011,0.0032999833166078166,0.01746796730055132,0.004532032699448679
Joint region coefficients,Conventional,2400,0.262,0.013912208651021343,0.28926792895600184,0.23473207104399818
Joint region coefficients,Anytime-valid,2500,0.011,0.0032999833166078166,0.01746796730055132,0.004532032699448679
Joint region coefficients,Conventional,2500,0.269,0.014029819522568193,0.29649844626423366,0.24150155373576637
