G,term,estimate,std.error,statistic,p.value,e_value,conf.low,conf.high
5,`Job Plans`interviews with employer,0.44313340953268976,1.333280185504244,0.33236330544063214,1,0.9874643995424516,-Inf,Inf
5,`Job Plans`no plans to look for work,-0.0016047920354719525,0.30963195083891903,-0.005182901929610033,1,0.9855643157289864,-Inf,Inf
5,`Reason for Application`seek better job,-0.01600981051003611,0.5836194394768435,-0.027431934968422753,1,0.9855771256444007,-Inf,Inf
5,`Reason for Application`escape persecution,0.364044478126579,1.2342903079834464,0.2949423452261778,1,0.987068696646488,-Inf,Inf
5,`Prior Entry`once as tourist,0.19550817518018176,0.46943915529595703,0.41647181104210196,1,0.9885051627298254,-Inf,Inf
5,`Prior Entry`many times as tourist,0.2678442133865873,0.8551569713603765,0.3132105828015446,1,0.9872565110494694,-Inf,Inf
5,`Prior Entry`six months with family,0.27885752938240854,0.4537579269320356,0.6145513121232505,1,0.9916833363916884,-Inf,Inf
5,`Prior Entry`once w/o authorization,-0.31728981215785734,0.506500148169706,-0.6264357736210324,1,0.9919019364167504,-Inf,Inf
6,Gendermale,0.19191460792768197,0.28473569210420907,0.6740096631701658,1,0.9911973233375908,-Inf,Inf
6,Education4th grade,-0.0450711057799533,0.3196190973071949,-0.14101505873609985,1,0.9831504523136998,-Inf,Inf
6,Education8th grade,-0.20216987504982029,0.3628853406026652,-0.5571177791697641,1,0.9886679767287057,-Inf,Inf
6,Educationhigh school,0.11693724695217914,0.4142022479814358,0.28231919918846066,1,0.9843347445867944,-Inf,Inf
6,Educationtwo-year college,0.02977589875728917,0.21671180752919722,0.13739859907392224,1,0.9831302931743731,-Inf,Inf
6,Educationcollege degree,0.01345266297479178,0.4890148759380075,0.027509721353542575,1,0.9827661778121805,-Inf,Inf
6,Educationgraduate degree,0.18815677838608832,0.2559495745402902,0.735132217836407,1,0.9926521944834864,-Inf,Inf
6,`Language Skills`broken English,0.1867385636466452,0.0642992866038282,2.904208950205169,0.9534028301731593,1.0488745872700813,-Inf,Inf
6,`Language Skills`tried English but unable,0.32348983218241123,0.37125211245257905,0.8713481252547254,1,0.9961644929388656,-Inf,Inf
6,`Language Skills`used interpreter,-0.317242002594909,0.22383254352471155,-1.417318489971432,0.9879212877439054,1.0122263913187644,-Inf,Inf
6,`Country of Origin`Germany,0.26123060915613855,0.5071344050569792,0.5151111944905177,1,0.9878497793504055,-Inf,Inf
6,`Country of Origin`France,0.21015473334492465,0.262286288756985,0.8012417817983555,1,0.9943142462616072,-Inf,Inf
6,`Country of Origin`Mexico,-0.3179578016666638,0.6292471128741868,-0.5052987851058081,1,0.9876661103513026,-Inf,Inf
6,`Country of Origin`Philippines,0.15546132737244842,0.6115892658349323,0.2541923739623111,1,0.984038446240156,-Inf,Inf
6,`Country of Origin`Poland,-0.17396800822735975,0.5000107605924359,-0.3479285286205329,1,0.9851383015973635,-Inf,Inf
6,`Country of Origin`China,0.1958139274345299,0.5034455558311569,0.388947573707853,1,0.9857180634848767,-Inf,Inf
6,`Country of Origin`Sudan,-0.5922196578905773,0.32126974129183494,-1.8433720384286578,0.9758901111954595,1.0247055365434599,-Inf,Inf
6,`Country of Origin`Somalia,-0.4767035748731025,0.31087887391752894,-1.5334061426109131,0.9845224340587351,1.0157208870065642,-Inf,Inf
6,`Country of Origin`Iraq,-0.4946914953149066,0.2384714903297557,-2.074426148932322,0.9700199532713203,1.0309066289075541,-Inf,Inf
6,Jobwaiter,0.400121510680841,0.25111683433714316,1.5933679306567234,0.9827958990411814,1.0175052632755215,-Inf,Inf
6,Jobchild care provider,-0.01674128239048696,0.531634964282137,-0.031490183143037996,1,0.9827709122906824,-Inf,Inf
6,Jobgardener,-0.006018138523787311,0.40739260971898245,-0.014772331113071972,1,0.9827553188962228,-Inf,Inf
6,Jobfinancial analyst,0.8212921536052106,0.5854733774319376,1.4027830901682414,0.9883509642800326,1.011786335159245,-Inf,Inf
6,Jobconstruction worker,0.6153060612442492,0.40989665909965334,1.5011248508240638,0.9854608644193235,1.0147536407640536,-Inf,Inf
6,Jobteacher,0.8038971053058874,0.47708659501190037,1.6850129802658471,0.9802051388755221,1.0201946106375104,-Inf,Inf
6,Jobcomputer programmer,0.5763789809762185,0.6699555164039038,0.8603242556610733,1,0.9958681169239201,-Inf,Inf
6,Jobnurse,0.5887627683447096,0.4930010193870356,1.1942424968547485,0.9945564286378746,1.0054733660206499,-Inf,Inf
6,Jobresearch scientist,-0.2571298140316225,0.4598963155817344,-0.5591038791132139,1,0.9887079137440359,-Inf,Inf
6,Jobdoctor,0.02067738956176282,0.4224642661429459,0.04894470661517766,1,0.9827992071331009,-Inf,Inf
6,`Job Experience`1-2 years,-0.264612043685959,0.24199116424133568,-1.0934781214658882,0.9975360550789727,1.0024700309412198,-Inf,Inf
6,`Job Experience`3-5 years,-0.16192344916167553,0.2198354531977917,-0.7365665856270633,1,0.9926873191903353,-Inf,Inf
6,`Job Experience`5+ years,-0.29788879098424215,0.19396600257649324,-1.535778368514686,0.9844537059088256,1.0157917980275388,-Inf,Inf
6,`Job Plans`contract with employer,0.7126137931087955,0.16449286635644225,4.332186610236465,0.937318430815659,1.066873292067665,-Inf,Inf
6,`Job Plans`interviews with employer,0.5638238030883136,0.3515188881966668,1.603964458299228,0.9824932270337816,1.0178187212741125,-Inf,Inf
6,`Job Plans`no plans to look for work,0.1053393036362339,0.2033383402870725,0.5180493923945487,1,0.987905334911031,-Inf,Inf
6,`Reason for Application`seek better job,0.27708495357289764,0.27279584326885964,1.0157227846753176,0.999798494585,1.000201546027616,-Inf,Inf
6,`Reason for Application`escape persecution,0.6797672728419454,0.261813243834718,2.596382302459385,0.9587784285279652,1.0429938453406,-Inf,Inf
6,`Prior Entry`once as tourist,0.09947212532345143,0.11747722740217952,0.8467353845772322,1,0.9955054697835474,-Inf,Inf
6,`Prior Entry`many times as tourist,0.4570958798014615,0.2727927202568984,1.6756161211743423,0.9804678627719382,1.0199212416537973,-Inf,Inf
6,`Prior Entry`six months with family,0.23960960163480385,0.2869127050695381,0.8351306770354783,1,0.9951981950975122,-Inf,Inf
6,`Prior Entry`once w/o authorization,-0.04478527223390233,0.24659385387575902,-0.18161552500195896,1,0.9834120286448568,-Inf,Inf
7,Gendermale,0.1536347857885788,0.10139973194783258,1.5151399598138953,0.9817703222935245,1.0185681694511697,-Inf,Inf
7,Education4th grade,-0.07253790899309544,0.22114541324980427,-0.32801000901229244,1,0.9823628613785008,-Inf,Inf
7,Education8th grade,-0.1130687824408478,0.3153529628828904,-0.3585467579159453,1,0.9828217516811256,-Inf,Inf
7,Educationhigh school,0.019238153868958018,0.267075664900267,0.07203259748933713,1,0.9800795295884772,-Inf,Inf
7,Educationtwo-year college,0.09069486826969203,0.052651758908052196,1.7225420413414105,0.9743247378078246,1.0263518529252817,-Inf,Inf
7,Educationcollege degree,0.055770495782952234,0.3524650101444437,0.15822987864837115,1,0.9805276202943671,-Inf,Inf
7,Educationgraduate degree,0.09938543409360129,0.2054366054765958,0.4837766563706373,1,0.9850878060183837,-Inf,Inf
7,`Language Skills`broken English,0.4114764256602538,0.25093375265470935,1.6397811028094529,0.9772656950326836,1.0232631771307148,-Inf,Inf
7,`Language Skills`tried English but unable,0.3762896264888007,0.17736804492816613,2.121518713481888,0.9609925970587041,1.0405907423852019,-Inf,Inf
7,`Language Skills`used interpreter,-0.2566736686183822,0.2253531606451297,-1.1389841078047884,0.9954781104269462,1.0045424299396342,-Inf,Inf
7,`Country of Origin`Germany,0.4836268506849367,0.30007221711185517,1.6117015275181559,0.9782735573606681,1.0222089644311236,-Inf,Inf
7,`Country of Origin`France,0.036313219668403056,0.2658464541117826,0.13659471137100118,1,0.9803839103460233,-Inf,Inf
7,`Country of Origin`Mexico,-0.1952414131314507,0.30041383074730016,-0.6499082037793472,1,0.9889642150493806,-Inf,Inf
7,`Country of Origin`Philippines,0.42269958685491177,0.21877578862662242,1.9321131899852022,0.96712529087072,1.0339921925727766,-Inf,Inf
7,`Country of Origin`Poland,-0.10477297036241948,0.4103618578154936,-0.25531849114867633,1,0.9814258956999311,-Inf,Inf
7,`Country of Origin`China,0.12489724719026629,0.22023802542127757,0.56710119404385,1,0.9869163277940639,-Inf,Inf
7,`Country of Origin`Sudan,-0.4944262407110552,0.3515142712181344,-1.4065609313604108,0.9857402000739247,1.0144660833807995,-Inf,Inf
7,`Country of Origin`Somalia,-0.07741226107570816,0.3558243256357656,-0.2175575290907741,1,0.9810277486199624,-Inf,Inf
7,`Country of Origin`Iraq,-0.3086072316221935,0.27125625828694766,-1.1376962639355375,0.9955241214457727,1.0044960021136675,-Inf,Inf
7,Jobwaiter,0.7563099941040359,0.5909920375538886,1.2797295835564841,0.9903855409535893,1.009707794236529,-Inf,Inf
7,Jobchild care provider,0.4446513983185646,0.5013150319393488,0.8869700088553507,1,0.9959007809487855,-Inf,Inf
7,Jobgardener,0.25560529837087925,0.3004598197728987,0.8507137445668358,1,0.9947507431769425,-Inf,Inf
7,Jobfinancial analyst,1.0456382550712,0.4532011493294294,2.30722772132939,0.9553703787986811,1.0467144703161488,-Inf,Inf
7,Jobconstruction worker,0.8727514842237898,0.38376343133363483,2.2741913714677007,0.9563411751566498,1.0456519346625421,-Inf,Inf
7,Jobteacher,0.8916964547988014,0.4249896752097227,2.0981602773261954,0.9617277705656041,1.0397952836610795,-Inf,Inf
7,Jobcomputer programmer,0.5887410478030021,0.48935141896747864,1.2031048138068823,0.9931718416106339,1.0068751026794043,-Inf,Inf
7,Jobnurse,0.7389200639399682,0.28008047153917526,2.6382420019476953,0.9463530800766508,1.0566880597239712,-Inf,Inf
7,Jobresearch scientist,-0.17221039786236536,0.40065870165038536,-0.4298181897784816,1,0.9840375910694249,-Inf,Inf
