responseid	dv	contest	winner	sample	female_respondent	orig_cand_female	orig_cand_gender_string	orig_0ys	orig_1ys	orig_3ys	orig_8ys	orig_UN_sp	orig_FM_sp	orig_MD_sp	orig_teach	orig_law	orig_may	orig_leg	orig_0ch	orig_1ch	orig_3ch	orig_29	orig_45	orig_65	democrat_respondent	republican_respondent	replication	first_orig
"7usa voter"	1.0	3.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0.0	0.0	0.0	
"7usa voter"	1.0	3.0	0.0	"usa voter"	1.0	1.0	"Female"	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0.0	0.0	0.0	
"8usa voter"	2.0	1.0	0.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1.0	0.0	0.0	
"8usa voter"	2.0	1.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1.0	0.0	0.0	
"8usa voter"	2.0	2.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1.0	0.0	0.0	
"8usa voter"	2.0	2.0	0.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1.0	0.0	0.0	
"8usa voter"	2.0	3.0	0.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1.0	0.0	0.0	
"8usa voter"	2.0	3.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1.0	0.0	0.0	
"9usa voter"	3.0	1.0	1.0	"usa voter"	1.0	0.0	"Male"	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0.0	1.0	0.0	
"9usa voter"	3.0	1.0	0.0	"usa voter"	1.0	1.0	"Female"	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0.0	1.0	0.0	
"9usa voter"	3.0	2.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0.0	1.0	0.0	
"9usa voter"	3.0	2.0	0.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0.0	1.0	0.0	
"9usa voter"	3.0	3.0	0.0	"usa voter"	1.0	0.0	"Male"	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.0	1.0	0.0	
"9usa voter"	3.0	3.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0.0	1.0	0.0	
"10usa voter"	1.0	1.0	1.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1.0	0.0	0.0	
"10usa voter"	1.0	1.0	0.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1.0	0.0	0.0	
"10usa voter"	1.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1.0	0.0	0.0	
"10usa voter"	1.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1.0	0.0	0.0	
"10usa voter"	1.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1.0	0.0	0.0	
"10usa voter"	1.0	3.0	1.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1.0	0.0	0.0	
"11usa voter"	2.0	1.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	
"11usa voter"	2.0	1.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0.0	0.0	0.0	
"11usa voter"	2.0	2.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	
"11usa voter"	2.0	2.0	0.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0.0	0.0	0.0	
"11usa voter"	2.0	3.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0.0	0.0	0.0	
"11usa voter"	2.0	3.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	
"12usa voter"	3.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1.0	0.0	0.0	
"12usa voter"	3.0	1.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1.0	0.0	0.0	
"12usa voter"	3.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1.0	0.0	0.0	
"12usa voter"	3.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1.0	0.0	0.0	
"12usa voter"	3.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1.0	0.0	0.0	
"12usa voter"	3.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1.0	0.0	0.0	
"13usa voter"	1.0	1.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1.0	0.0	0.0	
"13usa voter"	1.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1.0	0.0	0.0	
"13usa voter"	1.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1.0	0.0	0.0	
"13usa voter"	1.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1.0	0.0	0.0	
"13usa voter"	1.0	3.0	0.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1.0	0.0	0.0	
"13usa voter"	1.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1.0	0.0	0.0	
"14usa voter"	2.0	1.0	1.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	
"14usa voter"	2.0	1.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0.0	0.0	0.0	
"14usa voter"	2.0	2.0	1.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0.0	0.0	0.0	
"14usa voter"	2.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	
"14usa voter"	2.0	3.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	
"14usa voter"	2.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	
"15usa voter"	3.0	1.0	0.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0.0	1.0	0.0	
"15usa voter"	3.0	1.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0.0	1.0	0.0	
"15usa voter"	3.0	2.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0.0	1.0	0.0	
"15usa voter"	3.0	2.0	0.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0.0	1.0	0.0	
"15usa voter"	3.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0.0	1.0	0.0	
"15usa voter"	3.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0.0	1.0	0.0	
"16usa voter"	1.0	1.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0.0	1.0	0.0	
"16usa voter"	1.0	1.0	0.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0.0	1.0	0.0	
"16usa voter"	1.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0.0	1.0	0.0	
"16usa voter"	1.0	2.0	0.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0.0	1.0	0.0	
"16usa voter"	1.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0.0	1.0	0.0	
"16usa voter"	1.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0.0	1.0	0.0	
"17usa voter"	2.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0.0	0.0	0.0	
"17usa voter"	2.0	1.0	0.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0.0	0.0	0.0	
"17usa voter"	2.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0.0	0.0	0.0	
"17usa voter"	2.0	2.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	
"17usa voter"	2.0	3.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0.0	0.0	0.0	
"17usa voter"	2.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0.0	0.0	0.0	
"18usa voter"	3.0	1.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	1.0	0.0	
"18usa voter"	3.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0.0	1.0	0.0	
"18usa voter"	3.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0.0	1.0	0.0	
"18usa voter"	3.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0.0	1.0	0.0	
"18usa voter"	3.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0.0	1.0	0.0	
"18usa voter"	3.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0.0	1.0	0.0	
"19usa voter"	1.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0.0	1.0	0.0	
"19usa voter"	1.0	1.0	0.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0.0	1.0	0.0	
"19usa voter"	1.0	2.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0.0	1.0	0.0	
"19usa voter"	1.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0.0	1.0	0.0	
"19usa voter"	1.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0.0	1.0	0.0	
"19usa voter"	1.0	3.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0.0	1.0	0.0	
"20usa voter"	2.0	1.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0.0	1.0	0.0	
"20usa voter"	2.0	1.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0.0	1.0	0.0	
"20usa voter"	2.0	2.0	0.0	"usa voter"	1.0	1.0	"Female"	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0.0	1.0	0.0	
"20usa voter"	2.0	2.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0.0	1.0	0.0	
"20usa voter"	2.0	3.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0.0	1.0	0.0	
"20usa voter"	2.0	3.0	0.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0.0	1.0	0.0	
"21usa voter"	3.0	1.0	0.0	"usa voter"	0.0	0.0	"Male"	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1.0	0.0	0.0	
"21usa voter"	3.0	1.0	1.0	"usa voter"	0.0	1.0	"Female"	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1.0	0.0	0.0	
"21usa voter"	3.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1.0	0.0	0.0	
"21usa voter"	3.0	2.0	1.0	"usa voter"	0.0	1.0	"Female"	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1.0	0.0	0.0	
"21usa voter"	3.0	3.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1.0	0.0	0.0	
"21usa voter"	3.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1.0	0.0	0.0	
"23usa voter"	2.0	1.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1.0	0.0	0.0	
"23usa voter"	2.0	1.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1.0	0.0	0.0	
"23usa voter"	2.0	2.0	1.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1.0	0.0	0.0	
"23usa voter"	2.0	2.0	0.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1.0	0.0	0.0	
"23usa voter"	2.0	3.0	0.0	"usa voter"	1.0	1.0	"Female"	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1.0	0.0	0.0	
"23usa voter"	2.0	3.0	1.0	"usa voter"	1.0	0.0	"Male"	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1.0	0.0	0.0	
"24usa voter"	3.0	1.0	1.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1.0	0.0	0.0	
"24usa voter"	3.0	1.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1.0	0.0	0.0	
"24usa voter"	3.0	2.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1.0	0.0	0.0	
"24usa voter"	3.0	2.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1.0	0.0	0.0	
"24usa voter"	3.0	3.0	0.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1.0	0.0	0.0	
"24usa voter"	3.0	3.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1.0	0.0	0.0	
"25usa voter"	1.0	1.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1.0	0.0	0.0	
"25usa voter"	1.0	1.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1.0	0.0	0.0	
"25usa voter"	1.0	2.0	0.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1.0	0.0	0.0	
"25usa voter"	1.0	2.0	1.0	"usa voter"	1.0	0.0	"Male"	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1.0	0.0	0.0	
"25usa voter"	1.0	3.0	0.0	"usa voter"	1.0	1.0	"Female"	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1.0	0.0	0.0	
"25usa voter"	1.0	3.0	1.0	"usa voter"	1.0	1.0	"Female"	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1.0	0.0	0.0	
"26usa voter"	2.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0.0	1.0	0.0	
"26usa voter"	2.0	1.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0.0	1.0	0.0	
"26usa voter"	2.0	2.0	0.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0.0	1.0	0.0	
"26usa voter"	2.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0.0	1.0	0.0	
"26usa voter"	2.0	3.0	0.0	"usa voter"	0.0	0.0	"Male"	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0.0	1.0	0.0	
"26usa voter"	2.0	3.0	1.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0.0	1.0	0.0	
"27usa voter"	3.0	1.0	0.0	"usa voter"	0.0	1.0	"Female"	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0.0	0.0	0.0	
"27usa voter"	3.0	1.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0.0	0.0	0.0	
"27usa voter"	3.0	2.0	1.0	"usa voter"	0.0	0.0	"Male"	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0.0	0.0	0.0	
"27usa voter"	3.0	2.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0.0	0.0	0.0	
"27usa voter"	3.0	3.0	1.0	"usa voter"	0.0	1.0	"Female"	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	
"27usa voter"	3.0	3.0	0.0	"usa voter"	0.0	1.0	"Female"	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0.0	0.0	0.0	
"28usa voter"	1.0	1.0	1.0	"usa voter"	1.0	0.0	"Male"	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1.0	0.0	0.0	
"28usa voter"	1.0	1.0	0.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1.0	0.0	0.0	
"28usa voter"	1.0	2.0	1.0	"usa voter"	1.0	0.0	"Male"	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1.0	0.0	0.0	
"28usa voter"	1.0	2.0	0.0	"usa voter"	1.0	0.0	"Male"	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1.0	0.0	0.0	
"28usa voter"	1.0	3.0	0.0	"usa voter"	1.0	1.0	"Female"	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1.0	0.0	0.0	
"28usa voter"	1.0	3.0	1.0	"usa voter"	1.0	1.0	"Female"	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1.0	0.0	0.0	
