term,estimate,std.error,conf.low,conf.high,method
orig_1ys,0.05091183790421309,0.012540952241777256,0.02631787518845943,0.07550580061996674,Conventional (fixed-n)
orig_3ys,0.10742020645764949,0.012683352037432804,0.08254698462364349,0.1322934282916555,Conventional (fixed-n)
orig_8ys,0.14518186329274932,0.013418019306270233,0.11886789126131558,0.17149583532418305,Conventional (fixed-n)
orig_FM_sp,0.08124433263230663,0.011204783511594069,0.059270719894651935,0.10321794536996132,Conventional (fixed-n)
orig_MD_sp,0.057553458379114825,0.010943511356212831,0.03609222440857679,0.07901469234965286,Conventional (fixed-n)
orig_law,-0.07056640288693737,0.013358775040142129,-0.09676419145445335,-0.04436861431942139,Conventional (fixed-n)
orig_may,0.048042843044113895,0.01286867864296378,0.022806178662939713,0.07327950742528808,Conventional (fixed-n)
orig_leg,0.046204564690019094,0.012868455785763719,0.02096833735234556,0.07144079202769263,Conventional (fixed-n)
orig_1ch,0.05183249141897497,0.010707304943764475,0.030834479984411883,0.07283050285353805,Conventional (fixed-n)
orig_3ch,0.053352942078437944,0.01120162426210901,0.03138552492007798,0.07532035923679792,Conventional (fixed-n)
orig_45,0.07857513630388618,0.011116675326187568,0.05677431183502192,0.10037596077275045,Conventional (fixed-n)
orig_65,-0.014266023082630775,0.011469106543988165,-0.03675799763829476,0.00822595147303321,Conventional (fixed-n)
orig_cand_female,0.04246980826672653,0.008973852427229667,0.024871256916156614,0.06006835961729644,Conventional (fixed-n)
orig_1ys,0.05091183790421309,0.012540952241777256,0.012811346332748046,0.08901232947567814,Anytime-valid (CS)
orig_3ys,0.10742020645764949,0.012683352037432804,0.06888709205902155,0.14595332085627744,Anytime-valid (CS)
orig_8ys,0.14518186329274932,0.013418019306270233,0.10441676654186223,0.18594696004363642,Anytime-valid (CS)
orig_FM_sp,0.08124433263230663,0.011204783511594069,0.047203236588464224,0.11528542867614902,Anytime-valid (CS)
orig_MD_sp,0.057553458379114825,0.010943511356212831,0.024306129615622944,0.0908007871426067,Anytime-valid (CS)
orig_law,-0.07056640288693737,0.013358775040142129,-0.1111515104616635,-0.02998129531221124,Anytime-valid (CS)
orig_may,0.048042843044113895,0.01286867864296378,0.008946690477739896,0.0871389956104879,Anytime-valid (CS)
orig_leg,0.046204564690019094,0.012868455785763719,0.007109089182987069,0.08530004019705112,Anytime-valid (CS)
orig_1ch,0.05183249141897497,0.010707304943764475,0.0193027780528717,0.08436220478507823,Anytime-valid (CS)
orig_3ch,0.053352942078437944,0.01120162426210901,0.01932144410626163,0.08738444005061426,Anytime-valid (CS)
orig_45,0.07857513630388618,0.011116675326187568,0.04480172050558961,0.11234855210218275,Anytime-valid (CS)
orig_65,-0.014266023082630775,0.011469106543988165,-0.04911015523359802,0.020578109068336473,Anytime-valid (CS)
orig_cand_female,0.04246980826672653,0.008973852427229667,0.015206472741992792,0.06973314379146026,Anytime-valid (CS)
