G,term,estimate,std.error,statistic,p.value,e_value,conf.low,conf.high
5,orig_1ys,-0.26913411579909247,0.2792240400051451,-0.9638644143754,1,0.9993713558948135,-Inf,Inf
5,orig_3ys,-0.3665330901291558,0.14229654203470185,-2.575839756104329,0.9798010414463444,1.0206153675075083,-Inf,Inf
5,orig_8ys,-0.33293858337187027,0.3135531628392258,-1.0618249880087618,0.9991178621538098,1.0008829167004267,-Inf,Inf
5,orig_FM_sp,0.01180170661773744,0.3955476565980498,0.029836370967886116,1,0.9903772693188515,-Inf,Inf
5,orig_MD_sp,0.32791372825659015,0.43015328353222665,0.7623183195625268,1,0.9964144792320557,-Inf,Inf
5,orig_law,-0.16583798628906768,0.361625485566695,-0.4585904282414907,1,0.9927419527717384,-Inf,Inf
5,orig_may,-0.2251386529579655,0.45570178666943845,-0.4940482121069208,1,0.9931022102302038,-Inf,Inf
5,orig_leg,-0.1360209873925486,0.3408290673576259,-0.3990885767082306,1,0.9921869249027467,-Inf,Inf
5,orig_1ch,0.16497768505556692,0.506115512586071,0.32596844189301644,1,0.9915962000713358,-Inf,Inf
5,orig_3ch,-0.08190244151174994,0.29480691426485517,-0.27781723409027176,1,0.9912659515358226,-Inf,Inf
5,orig_45,0.12843467116393023,0.5257366616883481,0.24429468310518002,1,0.9910649298907771,-Inf,Inf
5,orig_65,0.1571878818863336,0.48192361494180813,0.3261676270114173,1,0.9915976654443015,-Inf,Inf
5,orig_cand_female,-0.0038597683704527375,0.18451980509217772,-0.020917908343359524,1,0.9903718989106909,-Inf,Inf
6,orig_1ys,-0.3294849707451304,0.20043915627988512,-1.6438153944584106,0.9874519081300251,1.0127075473414575,-Inf,Inf
6,orig_3ys,-0.3193072626724985,0.14970629419648937,-2.132891368304181,0.9788817179384386,1.0215738854598668,-Inf,Inf
6,orig_8ys,-0.29800818620202263,0.30001890336641324,-0.9932980317512363,1,0.9997602388510684,-Inf,Inf
6,orig_FM_sp,-0.15599751010312352,0.29218451983841176,-0.5339006672543624,1,0.9921482613192394,-Inf,Inf
6,orig_MD_sp,0.3781056247825332,0.2818463393168781,1.341531082855156,0.9933609113016956,1.0066834607872828,-Inf,Inf
6,orig_law,-0.2529286171598072,0.3019323743445025,-0.8376995600717451,1,0.996885974803555,-Inf,Inf
6,orig_may,-0.269003401143382,0.28738194491626956,-0.9360483701290203,1,0.9986776878502458,-Inf,Inf
6,orig_leg,-0.19063649198068294,0.23652691510171636,-0.8059822363078695,1,0.9963299200760151,-Inf,Inf
6,orig_1ch,0.09582955173634011,0.2964874026534904,0.32321626780324847,1,0.989865618443408,-Inf,Inf
6,orig_3ch,-0.0392026867696762,0.262436150487368,-0.1493799032521747,1,0.9887752946187226,-Inf,Inf
6,orig_45,0.03426344829078376,0.3788948770527602,0.09042995924701473,1,0.9885842341315327,-Inf,Inf
6,orig_65,0.02766413235080667,0.4509914106349551,0.06134070782380993,1,0.9885243551325185,-Inf,Inf
6,orig_cand_female,0.09638720012010848,0.15477500060000207,0.6227569035467811,1,0.9933819962061916,-Inf,Inf
7,orig_1ys,-0.36626447178439114,0.16447951854748905,-2.2268089973685212,0.9714702224919075,1.0293676294420133,-Inf,Inf
7,orig_3ys,-0.3371716479404928,0.12305658402126332,-2.7399724331875808,0.9620313576898587,1.0394671566645353,-Inf,Inf
7,orig_8ys,-0.21969819075106883,0.2001858691403295,-1.0974710237767147,0.9978802329078923,1.002124270049854,-Inf,Inf
7,orig_FM_sp,-0.11520657295604152,0.2238879194402568,-0.5145725291657987,1,0.9904883199587784,-Inf,Inf
7,orig_MD_sp,0.3145873597944797,0.2673459486096882,1.1767051695769726,0.9959823656582178,1.0040338408392673,-Inf,Inf
7,orig_law,-6.462775570950513e-4,0.35364714369259476,-0.0018274643769124385,1,0.9865906484843041,-Inf,Inf
7,orig_may,-0.2532889740056268,0.24034965579151787,-1.053835393154599,0.9989081367143209,1.0010930567542182,-Inf,Inf
7,orig_leg,-0.19097484949258664,0.2135563488492628,-0.894259761049693,1,0.9974856326495728,-Inf,Inf
7,orig_1ch,0.2773471952907627,0.26893547064728457,1.0312778549561812,0.9994337301204931,1.0005665907227672,-Inf,Inf
7,orig_3ch,-0.012347617332210868,0.2809151420515741,-0.04395497245906357,1,0.9866202084945297,-Inf,Inf
7,orig_45,0.21156633441375067,0.28732742356119595,0.7363248930142255,1,0.9942518592412545,-Inf,Inf
7,orig_65,0.17089018536929743,0.27492407065237623,0.6215904811964502,1,0.9921759909469317,-Inf,Inf
7,orig_cand_female,-0.02514398403171203,0.1411199717491217,-0.17817452568947614,1,0.987074890081185,-Inf,Inf
8,orig_1ys,-0.15357130549590275,0.21777676017889758,-0.7051776570178938,1,0.9926823403356582,-Inf,Inf
8,orig_3ys,-0.16374480733110622,0.1856232312784134,-0.8821353135777921,1,0.996761472892677,-Inf,Inf
8,orig_8ys,0.0091354850456545,0.25674603113826644,0.03558179655262025,1,0.98474027155311,-Inf,Inf
8,orig_FM_sp,-0.12581690618274477,0.19434614236495634,-0.6473856627752212,1,0.9914961657564847,-Inf,Inf
8,orig_MD_sp,0.3340584358452393,0.17295335015847818,1.9314944494520607,0.973359210185969,1.0273699468143327,-Inf,Inf
8,orig_law,0.06935606566384006,0.2801128839139754,0.2476004127148246,1,0.9857565216723717,-Inf,Inf
8,orig_may,-0.31730240646512914,0.22224247594799101,-1.4277307031954771,0.9880173870530538,1.0121279373257657,-Inf,Inf
8,orig_leg,-0.0989671152198515,0.29393971390379203,-0.3366918811530311,1,0.9866247772367316,-Inf,Inf
8,orig_1ch,0.13358633462055422,0.20158530681454304,0.6626789260164315,1,0.9918024015889781,-Inf,Inf
8,orig_3ch,-0.13805567530018598,0.22638823089903762,-0.6098182522648656,1,0.990768148458573,-Inf,Inf
8,orig_45,0.16541285420920154,0.22783797675413475,0.7260108984715151,1,0.9931287648899639,-Inf,Inf
8,orig_65,0.08360018836513856,0.19665853979054465,0.4251032701360374,1,0.9877308617242971,-Inf,Inf
8,orig_cand_female,-0.16940232617005932,0.15004742629727597,-1.1289918817696825,0.9966734475673154,1.0033376553181026,-Inf,Inf
9,orig_1ys,-0.20843632989545371,0.18500934220913307,-1.126625971459533,0.9963035230485664,1.0037101915891282,-Inf,Inf
9,orig_3ys,-0.1542438788838133,0.18938658455390223,-0.8144393080805215,1,0.9944510140981819,-Inf,Inf
9,orig_8ys,-0.011884960261847152,0.2500702875180474,-0.04752647897439404,1,0.9828997912305237,-Inf,Inf
9,orig_FM_sp,-0.09070977572222533,0.17228948126203392,-0.5264963075967791,1,0.9879079244068149,-Inf,Inf
9,orig_MD_sp,0.30229256270040034,0.14011251009137077,2.157498730864703,0.9614362455292617,1.0401105685895058,-Inf,Inf
9,orig_law,0.13221563781598947,0.26503476184369545,0.4988614961156069,1,0.9874058101753632,-Inf,Inf
9,orig_may,-0.29063521237895934,0.18845630777386202,-1.542188827808867,0.9822599935907161,1.0180603979852971,-Inf,Inf
9,orig_leg,-0.010001717270602464,0.26275351014387777,-0.03806501867520534,1,0.982884579147445,-Inf,Inf
9,orig_1ch,0.0704831007583232,0.19044219030096302,0.3701023425898226,1,0.9853921134081807,-Inf,Inf
9,orig_3ch,-0.2453732984355247,0.21677393020087973,-1.131931769692705,0.9961329191279873,1.0038820932405266,-Inf,Inf
9,orig_45,0.20071086156772447,0.21927862656928437,0.9153234161848731,1,0.9972365569610346,-Inf,Inf
9,orig_65,0.11356608963290646,0.19754108781782426,0.5748985736964203,1,0.9888441666845705,-Inf,Inf
9,orig_cand_female,-0.11525762367579467,0.12586541318845598,-0.9157211719729672,1,0.9972479716581858,-Inf,Inf
10,orig_1ys,-0.17152670385762706,0.18274418269880688,-0.938616492872618,1,0.9976288178009515,-Inf,Inf
10,orig_3ys,-0.1199996372233542,0.16811973436992497,-0.7137748442982372,1,0.9909543850764654,-Inf,Inf
10,orig_8ys,-0.005188254312558418,0.2237353635347837,-0.02318924568110043,1,0.981017582061079,-Inf,Inf
10,orig_FM_sp,-0.0839236512399171,0.16199885048367418,-0.5180509058511789,1,0.9863681448677226,-Inf,Inf
10,orig_MD_sp,0.2735009194413443,0.1015931707658763,2.692119139303499,0.9366408942123389,1.067645034697041,-Inf,Inf
10,orig_law,0.07765791422992781,0.2166232207781191,0.3584930274371212,1,0.9836090104642791,-Inf,Inf
10,orig_may,-0.37259721366473514,0.18242737709993476,-2.042441324257073,0.9600551123447301,1.0416068693782725,-Inf,Inf
10,orig_leg,-0.1281201524059845,0.20963336410976546,-0.6111629842418591,1,0.9883940783755312,-Inf,Inf
10,orig_1ch,0.08817728690968488,0.16598731746689394,0.531229061685823,1,0.9866369124187008,-Inf,Inf
10,orig_3ch,-0.2441418717953091,0.1763765352785998,-1.3842083438688084,0.9861419590901912,1.0140527849789438,-Inf,Inf
10,orig_45,0.2070998011359388,0.18442429782266487,1.122952905777512,0.9960102718721394,1.0040057098210056,-Inf,Inf
10,orig_65,0.20140669597938649,0.1954036550019985,1.0307212317872283,0.9992740133840217,1.0007265140554589,-Inf,Inf
10,orig_cand_female,-0.03608413737493238,0.13838413621572565,-0.26075342421244857,1,0.9823915502275337,-Inf,Inf
11,orig_1ys,-0.09750183612849336,0.1836775928184423,-0.5308314129795347,1,0.9852743530832427,-Inf,Inf
11,orig_3ys,-0.03511496564396131,0.17642833970963717,-0.1990324553399581,1,0.9800428323262528,-Inf,Inf
